flight_id,received_at,rssi,SYS,SRC,SEQ,St,ALT,Max,G,Pg,T,Batt,MET
2026-07-08-F1,2026-07-08T18:21:57.444Z,-37,7,1,19,1,-84,-84,6.4,6.4,21.1,3.6,0
2026-07-08-F1,2026-07-08T18:21:58.618Z,-32,7,1,20,1,-84,-84,10.7,10.7,21.1,3.6,1
2026-07-08-F1,2026-07-08T18:21:59.812Z,-37,7,1,21,1,-82,-82,32.4,32.4,21.2,3.6,2
2026-07-08-F1,2026-07-08T18:22:00.984Z,-30,7,1,22,1,-81,-81,10.0,32.4,21.2,3.61,3
2026-07-08-F1,2026-07-08T18:22:02.156Z,-31,7,1,23,1,-80,-80,26.6,32.4,21.2,3.6,4
2026-07-08-F1,2026-07-08T18:22:03.168Z,-31,7,1,24,1,-79,-79,21.2,32.4,21.2,3.6,5
2026-07-08-F1,2026-07-08T18:22:04.342Z,-30,7,1,25,1,-77,-77,17.0,32.4,21.2,3.6,7
2026-07-08-F1,2026-07-08T18:22:05.527Z,-38,7,1,26,1,-74,-74,23.6,32.4,21.1,3.61,8
2026-07-08-F1,2026-07-08T18:22:06.724Z,-31,7,1,27,2,-75,-74,17.1,32.4,21.1,3.61,9
2026-07-08-F1,2026-07-08T18:22:07.923Z,-26,7,1,28,2,-76,-74,22.5,32.4,21.1,3.6,10
2026-07-08-F1,2026-07-08T18:22:09.098Z,-38,7,1,29,2,-75,-74,25.6,32.4,21.1,3.6,11
2026-07-08-F1,2026-07-08T18:22:10.279Z,-31,7,1,30,2,-75,-74,1.0,32.4,21.1,3.6,12
2026-07-08-F1,2026-07-08T18:22:11.454Z,-31,7,1,31,2,-77,-74,1.8,32.4,21.1,3.61,14
2026-07-08-F1,2026-07-08T18:22:12.647Z,-32,7,1,32,2,-79,-74,1.5,32.4,21.1,3.6,15
2026-07-08-F1,2026-07-08T18:22:13.776Z,-23,7,1,33,2,-81,-74,1.2,32.4,21.1,3.61,16
2026-07-08-F1,2026-07-08T18:22:14.947Z,-28,7,1,34,2,-81,-74,1.5,32.4,21.1,3.6,17
2026-07-08-F1,2026-07-08T18:22:16.123Z,-28,7,1,35,2,-82,-74,1.6,32.4,21.1,3.61,18
2026-07-08-F1,2026-07-08T18:22:17.298Z,-23,7,1,36,2,-82,-74,1.7,32.4,21.1,3.6,19
2026-07-08-F1,2026-07-08T18:22:18.492Z,-18,7,1,37,2,-83,-74,1.1,32.4,21.1,3.6,21
2026-07-08-F1,2026-07-08T18:22:19.664Z,-16,7,1,38,2,-83,-74,1.6,32.4,21.1,3.6,22
2026-07-08-F1,2026-07-08T18:22:20.836Z,-16,7,1,39,2,-83,-74,1.7,32.4,21.1,3.6,23
2026-07-08-F1,2026-07-08T18:22:22.007Z,-18,7,1,40,2,-83,-74,1.6,32.4,21.1,3.6,24
2026-07-08-F1,2026-07-08T18:22:23.104Z,-17,7,1,41,2,-83,-74,1.6,32.4,21.1,3.6,25
2026-07-08-F1,2026-07-08T18:22:24.274Z,-18,7,1,42,2,-83,-74,1.6,32.4,21.1,3.6,26
2026-07-08-F1,2026-07-08T18:22:25.470Z,-19,7,1,43,2,-83,-74,1.6,32.4,21.1,3.61,28
2026-07-08-F1,2026-07-08T18:22:26.645Z,-18,7,1,44,2,-83,-74,1.6,32.4,21.1,3.6,29
2026-07-08-F1,2026-07-08T18:22:27.816Z,-17,7,1,45,2,-83,-74,1.6,32.4,21.1,3.6,30
2026-07-08-F1,2026-07-08T18:22:28.987Z,-17,7,1,46,2,-83,-74,1.6,32.4,21.1,3.61,31
2026-07-08-F1,2026-07-08T18:22:30.179Z,-17,7,1,47,2,-83,-74,1.6,32.4,21.1,3.61,32
