flight_id,received_at,rssi,SYS,SRC,SEQ,St,ALT,Max,G,Pg,T,Batt,MET,Vel,Gmx,Gmn,Wmx,Gyx,Gyy,Gyz,Mgx,Mgy,Mgz
2026-08-25-F1,2026-08-25T21:03:55.258Z,-71,7,1,354,1,-35,-35,2.8,2.8,29.7,4.14,0,83.0,3.1,2.8,211.7,,,,,,
2026-08-25-F1,2026-08-25T21:03:55.361Z,-81,7,1,355,1,-24,-24,2.7,2.8,29.7,4.15,1,91.7,2.8,2.7,231.7,,,,,,
2026-08-25-F1,2026-08-25T21:03:55.443Z,-71,7,1,356,1,-13,-13,2.8,2.8,29.7,4.15,1,99.2,2.8,2.7,247.5,,,,,,
2026-08-25-F1,2026-08-25T21:03:55.546Z,-69,7,1,357,1,-1,-1,2.6,2.8,29.7,4.15,1,107.5,2.7,2.6,255.3,,,,,,
2026-08-25-F1,2026-08-25T21:03:55.648Z,-69,7,1,358,1,12,12,2.5,2.8,29.7,4.14,1,115.7,2.6,2.5,274.9,,,,,,
2026-08-25-F1,2026-08-25T21:03:55.750Z,-70,7,1,359,1,26,26,2.5,2.8,29.7,4.14,1,123.7,2.6,2.5,288.3,,,,,,
2026-08-25-F1,2026-08-25T21:03:55.853Z,-72,7,1,360,1,40,40,2.4,2.8,29.7,4.15,1,131.6,2.5,2.4,298.1,,,,,,
2026-08-25-F1,2026-08-25T21:03:55.955Z,-78,7,1,361,1,56,56,2.3,2.8,29.7,4.15,1,139.8,2.3,2.3,311.3,,,,,,
2026-08-25-F1,2026-08-25T21:03:56.058Z,-91,7,1,362,1,72,72,2.2,2.8,29.7,4.15,1,146.8,2.3,2.2,318.8,,,,,,
2026-08-25-F1,2026-08-25T21:03:56.160Z,-79,7,1,363,1,88,88,2.2,2.8,29.7,4.14,1,152.3,2.2,2.2,337.4,,,,,,
2026-08-25-F1,2026-08-25T21:03:56.262Z,-77,7,1,364,1,104,104,2.0,2.8,29.7,4.15,1,157.1,2.1,2.0,346.1,,,,,,
2026-08-25-F1,2026-08-25T21:03:56.345Z,-79,7,1,365,1,122,122,2.0,2.8,29.7,4.15,2,164.0,2.1,2.0,353.3,,,,,,
2026-08-25-F1,2026-08-25T21:03:56.447Z,-87,7,1,366,1,139,139,2.0,2.8,29.7,4.14,2,167.2,2.0,2.0,366.4,,,,,,
2026-08-25-F1,2026-08-25T21:03:56.549Z,-80,7,1,367,1,158,158,1.9,2.8,29.7,4.14,2,172.9,1.9,1.9,373.9,,,,,,
2026-08-25-F1,2026-08-25T21:03:56.652Z,-77,7,1,368,1,176,176,1.9,2.8,29.7,4.15,2,177.3,1.9,1.9,382.7,,,,,,
2026-08-25-F1,2026-08-25T21:03:56.754Z,-77,7,1,369,1,195,195,1.8,2.8,29.7,4.15,2,183.2,1.8,1.8,393.1,,,,,,
2026-08-25-F1,2026-08-25T21:03:56.856Z,-79,7,1,370,1,214,214,1.7,2.8,29.7,4.15,2,185.8,1.8,1.7,401.2,,,,,,
2026-08-25-F1,2026-08-25T21:03:56.959Z,-85,7,1,371,1,234,234,1.7,2.8,29.7,4.15,2,189.2,1.8,1.7,407.6,,,,,,
2026-08-25-F1,2026-08-25T21:03:57.061Z,-86,7,1,372,1,254,254,1.8,2.8,29.7,4.15,2,193.8,1.8,1.7,416.6,,,,,,
